Country,Mode,Battery_type,Powertrain,Year,EV_sales,Mass_vehicule,Scenario,Installed_battery_cap,Metal,Metal intensity (g/kWh),Metal_demand_t,Fiability_used,Comment
Canada,Cars,NCA,FCEV,2024,20.0,1.0,Current Measures,2.9056999999999973,Copper,484.997905396169,0.0014092584137096469,Variability in data,mean of Variability in data
Canada,Cars,NCA,FCEV,2024,20.0,1.0,Current Measures,2.9056999999999973,Graphite,65.2555225805155,0.00018961297196220373,No comparison,"(battery production, Li-ion, NCA, rechargeable)"
Canada,Cars,NCA,FCEV,2024,20.0,1.0,Current Measures,2.9056999999999973,Lithium,179.0,0.0005201202999999995,Small variability in data,mean of Small variability in data
Canada,Cars,NCA,FCEV,2024,20.0,1.0,Current Measures,2.9056999999999973,Manganese,59.41948687206784,0.00017265520300416737,Small variability in data,"(battery production, Li-ion, NCA, rechargeable)"
Canada,Cars,NCA,FCEV,2024,20.0,1.0,Current Measures,2.9056999999999973,Nickel,791.469154288161,0.002299771921615107,Small variability in data,mean of Small variability in data
Canada,Cars,NMC,FCEV,2024,20.0,1.0,Current Measures,14.792400000000004,Cobalt,216.0569064717551,0.003196000183292791,Small variability in data,mean of Small variability in data
Canada,Cars,NMC,FCEV,2024,20.0,1.0,Current Measures,14.792400000000004,Copper,317.07315106442,0.004690272879805327,No comparison,(Gr-NMC)
Canada,Cars,NMC,FCEV,2024,20.0,1.0,Current Measures,14.792400000000004,Lithium,373.86187056491104,0.0055303143341443916,Variability in data,mean of Variability in data
Canada,Cars,NMC,FCEV,2024,20.0,1.0,Current Measures,14.792400000000004,Manganese,158.5365755322099,0.0023451364399026623,No comparison,(Gr-NMC)
Canada,Cars,NMC,FCEV,2024,20.0,1.0,Current Measures,14.792400000000004,Nickel,563.6856690888599,0.008338263891430053,No comparison,(Gr-NMC)
Canada,Cars,Na-ion,FCEV,2024,20.0,1.0,Current Measures,0.6604500000000002,Manganese,554.878014362737,0.0003664691845858698,Variability in data,
Canada,Cars,Na-ion,FCEV,2024,20.0,1.0,Current Measures,0.6604500000000002,Nickel,334.688460516676,0.00022104499374823875,Small variability in data,
Canada,Trucks,NMC,FCEV,2024,6.0,3.6892781241792854,Current Measures,2100.0,Cobalt,216.0569064717551,0.45371950359068575,Small variability in data,mean of Small variability in data
Canada,Trucks,NMC,FCEV,2024,6.0,3.6892781241792854,Current Measures,2100.0,Copper,317.07315106442,0.6658536172352821,No comparison,(Gr-NMC)
Canada,Trucks,NMC,FCEV,2024,6.0,3.6892781241792854,Current Measures,2100.0,Lithium,373.86187056491104,0.7851099281863132,Variability in data,mean of Variability in data
Canada,Trucks,NMC,FCEV,2024,6.0,3.6892781241792854,Current Measures,2100.0,Manganese,158.5365755322099,0.33292680861764073,No comparison,(Gr-NMC)
Canada,Trucks,NMC,FCEV,2024,6.0,3.6892781241792854,Current Measures,2100.0,Nickel,563.6856690888599,1.1837399050866058,No comparison,(Gr-NMC)
Canada,Cars,LFP,PHEV,2024,62000.0,1.0,Current Measures,386033.7,Aluminum,46.40007822418474,17.911993877171465,No comparison,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LFP,PHEV,2024,62000.0,1.0,Current Measures,386033.7,Cobalt,1536.85058087675,593.276116083001,Important variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LFP,PHEV,2024,62000.0,1.0,Current Measures,386033.7,Copper,493.2248344592003,190.40140777817257,Variability in data,(Gr-LFP)
Canada,Cars,LFP,PHEV,2024,62000.0,1.0,Current Measures,386033.7,Lithium,128.51391608843448,49.61070252910789,Small variability in data,mean of Small variability in data
Canada,Cars,LFP,PHEV,2024,62000.0,1.0,Current Measures,386033.7,Manganese,1492.4507879970258,576.1362997584075,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
