Country,Mode,Battery_type,Powertrain,Year,EV_sales,Mass_vehicule,Scenario,Installed_battery_cap,Metal,Metal intensity (g/kWh),Metal_demand_t,Fiability_used,Comment
Canada,Cars,LFP,FCEV,2024,20.0,1.0,Current Measures,3.5,Manganese,1492.4507879970258,0.0052235777579895904,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LFP,FCEV,2024,20.0,1.0,Current Measures,3.5,Nickel,140.0,0.00049,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LMO,FCEV,2024,20.0,1.0,Current Measures,0.35000000000000003,Cobalt,500.0,0.00017500000000000003,Variability in data,
Canada,Cars,LMO,FCEV,2024,20.0,1.0,Current Measures,0.35000000000000003,Copper,440.3793092817998,0.00015413275824862995,No comparison,(Gr-LMO)
Canada,Cars,LMO,FCEV,2024,20.0,1.0,Current Measures,0.35000000000000003,Lithium,355.95804320184345,0.0001245853151206452,Variability in data,mean of Variability in data
Canada,Cars,LMO,FCEV,2024,20.0,1.0,Current Measures,0.35000000000000003,Manganese,1277.1002589838204,0.00044698509064433715,No comparison,(Gr-LMO)
Canada,Cars,NCA,FCEV,2024,20.0,1.0,Current Measures,10.149999999999999,Cobalt,149.56368345160004,0.00151807138703374,Small variability in data,mean of Small variability in data
Canada,Cars,NCA,FCEV,2024,20.0,1.0,Current Measures,10.149999999999999,Copper,484.997905396169,0.004922728739771115,Variability in data,mean of Variability in data
Canada,Cars,NCA,FCEV,2024,20.0,1.0,Current Measures,10.149999999999999,Graphite,65.2555225805155,0.0006623435541922323,No comparison,"(battery production, Li-ion, NCA, rechargeable)"
Canada,Cars,NCA,FCEV,2024,20.0,1.0,Current Measures,10.149999999999999,Lithium,179.0,0.0018168499999999996,Small variability in data,mean of Small variability in data
Canada,Cars,NCA,FCEV,2024,20.0,1.0,Current Measures,10.149999999999999,Manganese,59.41948687206784,0.0006031077917514886,Small variability in data,"(battery production, Li-ion, NCA, rechargeable)"
Canada,Cars,NCA,FCEV,2024,20.0,1.0,Current Measures,10.149999999999999,Nickel,791.469154288161,0.008033411916024833,Small variability in data,mean of Small variability in data
Canada,Cars,NMC,FCEV,2024,20.0,1.0,Current Measures,18.55,Cobalt,216.0569064717551,0.004007855615051057,Small variability in data,mean of Small variability in data
Canada,Cars,NMC,FCEV,2024,20.0,1.0,Current Measures,18.55,Copper,317.07315106442,0.005881706952244992,No comparison,(Gr-NMC)
Canada,Cars,NMC,FCEV,2024,20.0,1.0,Current Measures,18.55,Lithium,373.86187056491104,0.0069351376989790995,Variability in data,mean of Variability in data
Canada,Cars,NMC,FCEV,2024,20.0,1.0,Current Measures,18.55,Manganese,158.5365755322099,0.0029408534761224936,No comparison,(Gr-NMC)
Canada,Cars,NMC,FCEV,2024,20.0,1.0,Current Measures,18.55,Nickel,563.6856690888599,0.010456369161598351,No comparison,(Gr-NMC)
Canada,Cars,Na-ion,FCEV,2024,20.0,1.0,Current Measures,2.1,Manganese,554.878014362737,0.0011652438301617476,Variability in data,
Canada,Cars,Na-ion,FCEV,2024,20.0,1.0,Current Measures,2.1,Nickel,334.688460516676,0.0007028457670850195,Small variability in data,
Canada,Trucks,NMC,FCEV,2024,6.0,3.6892781241792854,Current Measures,2100.0,Cobalt,216.0569064717551,0.45371950359068575,Small variability in data,mean of Small variability in data
Canada,Trucks,NMC,FCEV,2024,6.0,3.6892781241792854,Current Measures,2100.0,Copper,317.07315106442,0.6658536172352821,No comparison,(Gr-NMC)
Canada,Trucks,NMC,FCEV,2024,6.0,3.6892781241792854,Current Measures,2100.0,Lithium,373.86187056491104,0.7851099281863132,Variability in data,mean of Variability in data
Canada,Trucks,NMC,FCEV,2024,6.0,3.6892781241792854,Current Measures,2100.0,Manganese,158.5365755322099,0.33292680861764073,No comparison,(Gr-NMC)
Canada,Trucks,NMC,FCEV,2024,6.0,3.6892781241792854,Current Measures,2100.0,Nickel,563.6856690888599,1.1837399050866058,No comparison,(Gr-NMC)
Canada,Cars,LFP,PHEV,2024,62000.0,1.0,Current Measures,93000.0,Aluminum,46.40007822418474,4.315207274849181,No comparison,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LFP,PHEV,2024,62000.0,1.0,Current Measures,93000.0,Cobalt,1536.85058087675,142.92710402153776,Important variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LFP,PHEV,2024,62000.0,1.0,Current Measures,93000.0,Copper,493.2248344592003,45.869909604705626,Variability in data,(Gr-LFP)
Canada,Cars,LFP,PHEV,2024,62000.0,1.0,Current Measures,93000.0,Lithium,128.51391608843448,11.951794196224407,Small variability in data,mean of Small variability in data
Canada,Cars,LFP,PHEV,2024,62000.0,1.0,Current Measures,93000.0,Manganese,1492.4507879970258,138.7979232837234,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LFP,PHEV,2024,62000.0,1.0,Current Measures,93000.0,Nickel,140.0,13.02,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LMO,PHEV,2024,62000.0,1.0,Current Measures,9300.0,Cobalt,500.0,4.65,Variability in data,
Canada,Cars,LMO,PHEV,2024,62000.0,1.0,Current Measures,9300.0,Copper,440.3793092817998,4.095527576320738,No comparison,(Gr-LMO)
Canada,Cars,LMO,PHEV,2024,62000.0,1.0,Current Measures,9300.0,Lithium,355.95804320184345,3.310409801777144,Variability in data,mean of Variability in data
