"","Scenario","Region","Variable","Type","Year","Value"
"235","Global Net-zero","Yukon","Natural Gas","Primary Fuel",2020,63.61556193
"236","Canada Net-zero","Yukon","Oil","Primary Fuel",2020,75.33162
"237","Current Measures","Yukon","Oil","Primary Fuel",2020,75.33162
"238","Global Net-zero","Yukon","Oil","Primary Fuel",2020,75.33162
"239","Canada Net-zero","Yukon","Solar","Primary Fuel",2020,0.121926715
"240","Current Measures","Yukon","Solar","Primary Fuel",2020,0.121926715
"241","Global Net-zero","Yukon","Solar","Primary Fuel",2020,0.121926715
"242","Canada Net-zero","Yukon","Wind","Primary Fuel",2020,1.076967333
"243","Current Measures","Yukon","Wind","Primary Fuel",2020,1.076967333
"244","Global Net-zero","Yukon","Wind","Primary Fuel",2020,1.076967333
"245","Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel",2021,1793.5759594
"246","Current Measures","Alberta","Biomass / Geothermal","Primary Fuel",2021,1793.5759594
"247","Global Net-zero","Alberta","Biomass / Geothermal","Primary Fuel",2021,1793.5759594
"248","Canada Net-zero","Alberta","Coal & Coke","Primary Fuel",2021,16216.19679
"249","Current Measures","Alberta","Coal & Coke","Primary Fuel",2021,16216.19679
"250","Global Net-zero","Alberta","Coal & Coke","Primary Fuel",2021,16216.19679
"251","Canada Net-zero","Alberta","Hydro / Wave / Tidal","Primary Fuel",2021,2151.074978
"252","Current Measures","Alberta","Hydro / Wave / Tidal","Primary Fuel",2021,2151.074978
"253","Global Net-zero","Alberta","Hydro / Wave / Tidal","Primary Fuel",2021,2151.074978
"254","Canada Net-zero","Alberta","Natural Gas","Primary Fuel",2021,46519.47288
"255","Current Measures","Alberta","Natural Gas","Primary Fuel",2021,46519.47288
"256","Global Net-zero","Alberta","Natural Gas","Primary Fuel",2021,46519.47288
"257","Canada Net-zero","Alberta","Oil","Primary Fuel",2021,15.6585
"258","Current Measures","Alberta","Oil","Primary Fuel",2021,15.6585
"259","Global Net-zero","Alberta","Oil","Primary Fuel",2021,15.6585
"260","Canada Net-zero","Alberta","Solar","Primary Fuel",2021,405.8822065
"261","Current Measures","Alberta","Solar","Primary Fuel",2021,405.8822065
"262","Global Net-zero","Alberta","Solar","Primary Fuel",2021,405.8822065
"263","Canada Net-zero","Alberta","Uranium","Primary Fuel",2021,0
"264","Global Net-zero","Alberta","Uranium","Primary Fuel",2021,0
"265","Canada Net-zero","Alberta","Wind","Primary Fuel",2021,6800.614523
"266","Current Measures","Alberta","Wind","Primary Fuel",2021,6800.614523
"267","Global Net-zero","Alberta","Wind","Primary Fuel",2021,6800.614523
"268","Canada Net-zero","British Columbia","Biomass / Geothermal","Primary Fuel",2021,4057.95071073
"269","Current Measures","British Columbia","Biomass / Geothermal","Primary Fuel",2021,4057.95071073
"270","Global Net-zero","British Columbia","Biomass / Geothermal","Primary Fuel",2021,4057.95071073
"271","Canada Net-zero","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2021,63800.59024
"272","Current Measures","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2021,63800.59024
"273","Global Net-zero","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2021,63800.59024
"274","Canada Net-zero","British Columbia","Natural Gas","Primary Fuel",2021,1695.118811
"275","Current Measures","British Columbia","Natural Gas","Primary Fuel",2021,1695.118811
"276","Global Net-zero","British Columbia","Natural Gas","Primary Fuel",2021,1695.118811
"277","Canada Net-zero","British Columbia","Oil","Primary Fuel",2021,72.3681586
"278","Current Measures","British Columbia","Oil","Primary Fuel",2021,72.3681586
"279","Global Net-zero","British Columbia","Oil","Primary Fuel",2021,72.3681586
"280","Canada Net-zero","British Columbia","Solar","Primary Fuel",2021,29.837610864
"281","Current Measures","British Columbia","Solar","Primary Fuel",2021,29.837610864
"282","Global Net-zero","British Columbia","Solar","Primary Fuel",2021,29.837610864
"283","Canada Net-zero","British Columbia","Uranium","Primary Fuel",2021,0
"284","Global Net-zero","British Columbia","Uranium","Primary Fuel",2021,0
"285","Canada Net-zero","British Columbia","Wind","Primary Fuel",2021,2008.283925
"286","Current Measures","British Columbia","Wind","Primary Fuel",2021,2008.283925
"287","Global Net-zero","British Columbia","Wind","Primary Fuel",2021,2008.283925
"288","Canada Net-zero","Manitoba","Biomass / Geothermal","Primary Fuel",2021,80.896
"289","Current Measures","Manitoba","Biomass / Geothermal","Primary Fuel",2021,80.896
"290","Global Net-zero","Manitoba","Biomass / Geothermal","Primary Fuel",2021,80.896
"291","Canada Net-zero","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2021,28860.20635
"292","Current Measures","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2021,28860.20635
"293","Global Net-zero","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2021,28860.20635
"294","Canada Net-zero","Manitoba","Natural Gas","Primary Fuel",2021,46.29820227
"295","Current Measures","Manitoba","Natural Gas","Primary Fuel",2021,46.29820227
"296","Global Net-zero","Manitoba","Natural Gas","Primary Fuel",2021,46.29820227
"297","Canada Net-zero","Manitoba","Oil","Primary Fuel",2021,16.87422672
"298","Current Measures","Manitoba","Oil","Primary Fuel",2021,16.87422672
"299","Global Net-zero","Manitoba","Oil","Primary Fuel",2021,16.87422672
"300","Canada Net-zero","Manitoba","Solar","Primary Fuel",2021,10.350161058
"301","Current Measures","Manitoba","Solar","Primary Fuel",2021,10.350161058
"302","Global Net-zero","Manitoba","Solar","Primary Fuel",2021,10.350161058
"303","Canada Net-zero","Manitoba","Uranium","Primary Fuel",2021,0
"304","Global Net-zero","Manitoba","Uranium","Primary Fuel",2021,0
"305","Canada Net-zero","Manitoba","Wind","Primary Fuel",2021,948.9920318
"306","Current Measures","Manitoba","Wind","Primary Fuel",2021,948.9920318
"307","Global Net-zero","Manitoba","Wind","Primary Fuel",2021,948.9920318
"308","Canada Net-zero","New Brunswick","Biomass / Geothermal","Primary Fuel",2021,587.9155979
"309","Current Measures","New Brunswick","Biomass / Geothermal","Primary Fuel",2021,587.9155979
"310","Global Net-zero","New Brunswick","Biomass / Geothermal","Primary Fuel",2021,587.9155979
"311","Canada Net-zero","New Brunswick","Coal & Coke","Primary Fuel",2021,1470.457353
"312","Current Measures","New Brunswick","Coal & Coke","Primary Fuel",2021,1470.457353
"313","Global Net-zero","New Brunswick","Coal & Coke","Primary Fuel",2021,1470.457353
"314","Canada Net-zero","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2021,2622.059086
"315","Current Measures","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2021,2622.059086
"316","Global Net-zero","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2021,2622.059086
"317","Canada Net-zero","New Brunswick","Natural Gas","Primary Fuel",2021,1580.222794
"318","Current Measures","New Brunswick","Natural Gas","Primary Fuel",2021,1580.222794
"319","Global Net-zero","New Brunswick","Natural Gas","Primary Fuel",2021,1580.222794
"320","Canada Net-zero","New Brunswick","Oil","Primary Fuel",2021,40.391461123
"321","Current Measures","New Brunswick","Oil","Primary Fuel",2021,40.391461123
"322","Global Net-zero","New Brunswick","Oil","Primary Fuel",2021,40.391461123
"323","Canada Net-zero","New Brunswick","Solar","Primary Fuel",2021,1.654297376
"324","Current Measures","New Brunswick","Solar","Primary Fuel",2021,1.654297376
"325","Global Net-zero","New Brunswick","Solar","Primary Fuel",2021,1.654297376
"326","Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2021,4613.244492
"327","Current Measures","New Brunswick","Uranium","Primary Fuel",2021,4613.244492
"328","Global Net-zero","New Brunswick","Uranium","Primary Fuel",2021,4613.244492
"329","Canada Net-zero","New Brunswick","Wind","Primary Fuel",2021,710.0197142
"330","Current Measures","New Brunswick","Wind","Primary Fuel",2021,710.0197142
"331","Global Net-zero","New Brunswick","Wind","Primary Fuel",2021,710.0197142
"332","Canada Net-zero","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2021,40848.0614
"333","Current Measures","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2021,40848.0614
"334","Global Net-zero","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2021,40848.0614
"335","Canada Net-zero","Newfoundland and Labrador","Natural Gas","Primary Fuel",2021,264.0785
