Country,Mode,Powertrain,Year,Value,Mass_vehicule,Scenario
Canada,Buses,BEV,2042,2826.9567662991744,5.6752374182090595,Current Measures
Canada,Cars,BEV,2042,2557722.788556396,1.0,Current Measures
Canada,Trucks,BEV,2042,26923.39777427785,3.6892781241792854,Current Measures
Canada,Vans,BEV,2042,148078.6877585282,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2042,175.00208553280603,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2042,269.2339777427785,1.0,Current Measures
Canada,Trucks,FCEV,2042,80.77019332283356,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2042,834625.3310026134,1.0,Current Measures
Canada,Vans,PHEV,2042,86154.87287768912,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2043,2405.3091953824055,0.09808569078889517,Current Measures
Canada,Buses,BEV,2043,2971.264300178266,5.6752374182090595,Current Measures
Canada,Cars,BEV,2043,2688286.7477803356,1.0,Current Measures
Canada,Trucks,BEV,2043,28297.755239793005,3.6892781241792854,Current Measures
Canada,Vans,BEV,2043,155637.65381886152,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2043,183.93540905865453,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2043,282.97755239793,1.0,Current Measures
Canada,Trucks,FCEV,2043,84.89326571937902,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2043,877230.4124335832,1.0,Current Measures
Canada,Vans,PHEV,2043,90552.81676733762,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2044,2514.531231070112,0.09808569078889517,Current Measures
Canada,Buses,BEV,2044,3106.1856383807267,5.6752374182090595,Current Measures
Canada,Cars,BEV,2044,2810358.434725419,1.0,Current Measures
Canada,Trucks,BEV,2044,29582.720365530728,3.6892781241792854,Current Measures
Canada,Vans,BEV,2044,162704.96201041903,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2044,192.28768237594974,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2044,295.8272036553073,1.0,Current Measures
Canada,Trucks,FCEV,2044,88.74816109659218,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2044,917064.3313314526,1.0,Current Measures
Canada,Vans,PHEV,2044,94664.70516969834,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2045,2616.594783571886,0.09808569078889517,Current Measures
Canada,Buses,BEV,2045,3232.26414441233,5.6752374182090595,Current Measures
Canada,Cars,BEV,2045,2924429.463992108,1.0,Current Measures
Canada,Trucks,BEV,2045,30783.46804202219,3.6892781241792854,Current Measures
Canada,Vans,BEV,2045,169309.07423112204,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2045,200.09254227314423,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2045,307.8346804202219,1.0,Current Measures
Canada,Trucks,FCEV,2045,92.35040412606656,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2045,954287.5093026878,1.0,Current Measures
Canada,Vans,PHEV,2045,98507.09773447101,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2046,2712.5428789006387,0.09808569078889517,Current Measures
Canada,Buses,BEV,2046,3350.7882621713775,5.6752374182090595,Current Measures
Canada,Cars,BEV,2046,3031665.570536008,1.0,Current Measures
Canada,Trucks,BEV,2046,31912.269163536926,3.6892781241792854,Current Measures
Canada,Vans,BEV,2046,175517.48039945308,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2046,207.42974956299003,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2046,319.1226916353693,1.0,Current Measures
