Country,Mode,Battery_type,Powertrain,Year,EV_sales,Scenario,Associated_battery_cap,Installed_battery_cap
Canada,Cars,All,FCEV,2035,155.40871250800464,Current Measures,1.75,271.96524688900814
Canada,Trucks,All,FCEV,2035,46.62261375240139,Current Measures,350.0,16317.914813340487
Canada,Cars,All,PHEV,2035,481767.00877481437,Current Measures,15.0,7226505.131622216
Canada,Vans,All,PHEV,2035,49730.78800256149,Current Measures,21.8,1084131.1784558406
Canada,2 and 3 wheelers,All,BEV,2036,1459.4890877308367,Current Measures,3.0,4378.46726319251
Canada,Buses,All,BEV,2036,1802.8982848439746,Current Measures,300.0,540869.4854531924
Canada,Cars,All,BEV,2036,1631193.6862874057,Current Measures,65.0,106027589.60868137
Canada,Trucks,All,BEV,2036,17170.4598556569,Current Measures,350.0,6009660.949479915
Canada,Vans,All,BEV,2036,94437.52920611296,Current Measures,75.0,7082814.690458472
Canada,Buses,All,FCEV,2036,111.60798906176986,Current Measures,35.0,3906.2796171619448
Canada,Cars,All,FCEV,2036,171.704598556569,Current Measures,1.75,300.4830474739958
Canada,Trucks,All,FCEV,2036,51.5113795669707,Current Measures,350.0,18028.982848439748
Canada,Cars,All,PHEV,2036,532284.255525364,Current Measures,15.0,7984263.83288046
Canada,Vans,All,PHEV,2036,54945.47153810208,Current Measures,21.8,1197811.2795306253
Canada,2 and 3 wheelers,All,BEV,2037,1600.2431679329861,Current Measures,3.0,4800.729503798959
Canada,Buses,All,BEV,2037,1976.7709721525123,Current Measures,300.0,593031.2916457537
Canada,Cars,All,BEV,2037,1788507.0700427492,Current Measures,65.0,116252959.55277869
Canada,Trucks,All,BEV,2037,18826.390210976308,Current Measures,350.0,6589236.573841708
Canada,Vans,All,BEV,2037,103545.14616036968,Current Measures,75.0,7765885.962027726
Canada,Buses,All,FCEV,2037,122.371536371346,Current Measures,35.0,4283.00377299711
Canada,Cars,All,FCEV,2037,188.26390210976308,Current Measures,1.75,329.4618286920854
Canada,Trucks,All,FCEV,2037,56.47917063292892,Current Measures,350.0,19767.709721525123
Canada,Cars,All,PHEV,2037,583618.0965402655,Current Measures,15.0,8754271.448103983
Canada,Vans,All,PHEV,2037,60244.44867512418,Current Measures,21.8,1313328.9811177072
Canada,2 and 3 wheelers,All,BEV,2038,1742.6816836566918,Current Measures,3.0,5228.045050970075
Canada,Buses,All,BEV,2038,2152.724432752384,Current Measures,300.0,645817.3298257152
Canada,Cars,All,BEV,2038,1947703.058204538,Current Measures,65.0,126600698.78329496
Canada,Trucks,All,BEV,2038,20502.13745478461,Current Measures,350.0,7175748.109174614
