x,y,country_iso3_code,erml_commodity,concat_figure_notes_text,pole_of_inaccessibility_longitude,erml_sub_commodity,pole_of_inaccessibility_latitude,cgi_commodity_url,year,yearbook_table_id,quantity,yearbook_table_trans,bgs_commodity_code,units,bgs_statistic_type_trans,bgs_commodity_trans,concat_table_notes_code,country_trans,bgs_sub_commodity_trans,concat_table_notes_text,country_iso2_code,erml_group,concat_figure_notes_code
19.394322,52.124770999999996,POL,"Copper (mine production, metal content)",,19.394322,Ores and concentrates (metal content),52.124771,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,445000,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Poland,,,PL,Copper,
-8.263145999999999,39.866841,PRT,"Copper (mine production, metal content)",,-8.263146,Ores and concentrates (metal content),39.866841,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,40800,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Portugal,,,PT,Copper,
24.972941,45.853463999999995,ROU,"Copper (mine production, metal content)",,24.972941,Ores and concentrates (metal content),45.853464,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,9300,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Romania,,,RO,Copper,
94.13658799999999,63.462201,RUS,"Copper, smelter",,94.136588,,63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,981900,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,Russia,,,RU,Copper,
94.13658799999999,63.462201,RUS,"Copper, refined",,94.136588,,63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,993600,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Russia,,,RU,Copper,
94.13658799999999,63.462201,RUS,"Copper (mine production, metal content)",Estimates.,94.136588,Ores and concentrates (metal content),63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,896800,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Russia,,,RU,Copper,*
44.908958,23.753953,SAU,"Copper (mine production, metal content)",,44.908958,Ores and concentrates (metal content),23.753953,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,71810,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Saudi Arabia,,,SA,Copper,
21.069122999999998,43.769359,SRB,"Copper, smelter",Estimates.,21.069123,,43.769359,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,30000,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,Serbia,,,RS,Copper,*
21.069122999999998,43.769359,SRB,"Copper, refined",,21.069123,,43.769359,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,74163,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Serbia,,,RS,Copper,
21.069122999999998,43.769359,SRB,"Copper (mine production, metal content)",,21.069123,Ores and concentrates (metal content),43.769359,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,238909,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Serbia,,,RS,Copper,
19.480382,48.704935,SVK,"Copper (mine production, metal content)",,19.480382,Ores and concentrates (metal content),48.704935,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,37,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Slovakia,,,SK,Copper,
23.214465999999998,-30.457874999999998,ZAF,"Copper, smelter",Estimates.,23.214466,,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,0,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,South Africa,,,ZA,Copper,*
23.214465999999998,-30.457874999999998,ZAF,"Copper, refined",Estimates.,23.214466,,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,0,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,South Africa,,,ZA,Copper,*
